ID,Bug Line,Explanation
16,"5
10","Line 5: The method chain includes pin() before writeData(), which is incorrect. The pin() method should be called after setting up the label and other configurations, but before executing the vector. Fix: .label(""sLabel"").copyLabel(false).writeData(""rt"", 8, 0).pin(A)

Line 10: The method chain includes pin() before writeData(), which is incorrect. The pin() method should be called after setting up the label and other configurations, but before executing the vector. Fix: .label(""sLabel"").copyLabel(false).writeData(""rt"", 8, 8).pin(A)"
32,"2
3
5","Line 2: The method chain vForce(1 uA).burst() is incorrect because vForce sets a voltage force condition, which should not be immediately followed by a burst command. A burst operation typically follows a setup of conditions that define what the burst will capture or execute. Fix: rdi.port(""pt1"").dc().pin(""dig2"").vForce(1 uA);

Line 3: The method burst() is called twice consecutively, which is likely a mistake. The first call to burst() should be sufficient to initiate the burst operation with the specified label 'MPBurst2'. The second call to burst() is redundant and may cause unexpected behavior. Fix: rdi.port(TA::MULTI_PORT).func().burst(""MPBurst2"");

Line 5: Similar to the issue on line 3, the method burst() is called twice consecutively, which is likely a mistake. The first call to burst() should be enough to start the burst operation with the label 'MPBurst1'. The second call to burst() is unnecessary and could lead to undefined behavior. Fix: rdi.port(TA::MULTI_PORT).func().burst(""MPBurst1"");"
25,"5
7","Line 5: The RDI_END() macro is incorrectly placed before the protocol write operation. This prematurely ends the RDI block, preventing the subsequent protocol execution from being recognized. Fix: Remove the RDI_END() macro from this line.

Line 7: The RDI_BEGIN() macro is incorrectly placed after the setup of runtime values and protocol operations. It should be called at the beginning of the RDI block to properly initialize the environment. Fix: Move the RDI_BEGIN() macro to the start of the RDI block, before any other RDI operations."
10,"2
4","Line 2: The method 'readHumanSeniority' does not exist in the context of reading humidity from the PMUX card. This is likely a typo or confusion between methods. Fix: rdi.pmux(4).module(""02"").readHumidity().execute();

Line 4: The method 'getHumanSeniority' does not exist for retrieving the humidity value. This method name is incorrect and should be replaced with the appropriate method to get the humidity. Fix: int hum = rdi.id(4).getHumidity(""02"");"
26,"5
7","Line 5: The second argument to addWaveform should be the repetition count, but it is incorrectly placed as the first argument. This will cause the waveform to be added in the wrong order or with incorrect repetition. Fix: .addWaveform(2, wav3)      // Add ""wav3"" twice

Line 7: The method `repeat` is called before adding waveforms, which is incorrect. The `repeat` method should be used after calling `execute` or `read` to specify how many times the entire sequence should repeat. Fix: rdi.dc().pin(""Pin2"").vForce().waveform(wav1)
  .addWaveform(wav2, 3)      // Add ""wav2"" three times (group 2..4)
  .FS(250 /* kHz */).read().repeat(2);"
23,"7
25
30
31","Line 7: The method chain uses an incorrect call to 'burstUpload'. The parentheses after 'burstUpload' indicate a function call, which is not the intended action here. Instead, the 'begin' method should be called directly on the 'burstUpload' object. Fix: rdi.smartVec(""id"").burstUpload.begin();

Line 25: The method chain incorrectly calls 'smartVec' on 'burstUpload'. This is not necessary and leads to a wrong call chain. The 'end' method should be called directly on the 'burstUpload' object. Fix: rdi.burstUpload.end();

Line 30: The method 'getReadBit' is missing the bit position parameter. This parameter is required to specify which bit was read from the pin. Fix: ARRAY_I bitResult = rdi.id(""id"").getReadBit(""DATA2"", 2);

Line 31: The method 'getReadData' is missing the data position parameter. This parameter is required to specify which data was read from the pin. Fix: ARRAY_LL dataResult = rdi.id(""id"").getReadData(""DATA4"", 8);"
4,"3
4","Line 3: The vForce and vForceRange methods are called in the incorrect order. vForceRange should be called before vForce to ensure that the voltage forcing range is set before specifying the exact voltage force value. Fix: rdi.dc().pin(m_rMcd.sP_VS).vForceRange(30 V).vForce(31 V).iForceRange(50 mA).iClamp(50 mA, -50 mA)

Line 4: The vForce and vForceRange methods are called in the incorrect order. vForceRange should be called before vForce to ensure that the voltage forcing range is set before specifying the exact voltage force value. Fix: .pin(m_rMcd.sP_LIN).vForceRange(30 V).vForce(13.5 V).iForceRange(5 uA).iClamp(-5 uA, 5 uA)"
31,-1,Detection failed — please review manually.
17,"2
4
8","Line 2: The method 'emap' is incorrect. The correct method to define an element map in the Infineon SmartRDI API is 'elementMap'. Fix: rdi.elementMap(""a"")

Line 4: The method 'FFV' is incorrect. To set the first fail vector, the correct method is 'firstFailVector'. Fix: .firstFailVector(10)

Line 8: The method 'getFFC' is incorrect. To retrieve the first fail count, the correct method is 'getFirstFailCount'. Fix: int iffv = rdi.id(""a"").getFirstFailCount();"
27,"2
3
5","Line 2: The argument order for imeasRange is incorrect. The method imeasRange should be called after setting the pin to ensure that the current measurement range is applied to the correct pins. Fix: rdi.dc().pin(""DPS_1,DPS_2"").imeasRange(100 uA);

Line 3: The argument order for vForce is incorrect. The method vForce should be called after setting the pin to ensure that the voltage force is applied to the correct pins. Fix: rdi.dc().pin(""DPS_1,DPS_2"").vForce(0.01 V);

Line 5: The method chain is incorrect. The call to imeas should start with rdi.dc().pin() to specify the pins before measuring the current. Fix: rdi.dc().pin(""DPS_0,DPS_1"").imeas().write();"
